ImageId,WKT_Pix
AOI_2_Vegas_img1005,"LINESTRING (648.0 2.0, 651.0 192.0)"
AOI_2_Vegas_img1005,"LINESTRING (1252.0 2.0, 1252.0 162.0, 1261.0 375.0, 1264.0 586.0)"
AOI_2_Vegas_img1005,"LINESTRING (651.0 192.0, 293.0 195.0)"
AOI_2_Vegas_img1005,"LINESTRING (651.0 192.0, 661.0 316.0)"
AOI_2_Vegas_img1005,"LINESTRING (685.0 301.0, 683.0 329.0, 691.0 456.0, 692.0 593.0)"
AOI_2_Vegas_img1005,"LINESTRING (632.0 312.0, 630.0 444.0, 633.0 593.0)"
AOI_2_Vegas_img1005,"LINESTRING (1264.0 586.0, 1200.0 592.0)"
AOI_2_Vegas_img1005,"LINESTRING (1264.0 586.0, 1296.0 588.0)"
AOI_2_Vegas_img1005,"LINESTRING (1200.0 592.0, 1138.0 589.0, 692.0 593.0)"
AOI_2_Vegas_img1005,"LINESTRING (633.0 593.0, 692.0 593.0)"
AOI_2_Vegas_img1005,"LINESTRING (692.0 593.0, 688.0 774.0, 683.0 858.0, 678.0 885.0, 653.0 915.0)"
AOI_2_Vegas_img1005,"LINESTRING (1200.0 592.0, 1203.0 753.0)"
AOI_2_Vegas_img1005,"LINESTRING (633.0 593.0, 629.0 598.0, 539.0 604.0, 417.0 621.0, 255.0 637.0, 2.0 654.0)"
AOI_2_Vegas_img1005,"LINESTRING (629.0 598.0, 628.0 889.0, 624.0 902.0)"
AOI_2_Vegas_img1005,"LINESTRING (1203.0 753.0, 934.0 756.0, 912.0 759.0, 892.0 770.0, 887.0 782.0, 885.0 807.0, 876.0 1219.0)"
AOI_2_Vegas_img1005,"LINESTRING (1203.0 753.0, 1210.0 840.0, 1216.0 1111.0, 1215.0 1199.0, 1210.0 1216.0, 1198.0 1223.0, 1162.0 1228.0, 1006.0 1229.0, 932.0 1227.0, 876.0 1219.0)"
AOI_2_Vegas_img1005,"LINESTRING (2.0 814.0, 160.0 806.0, 314.0 795.0, 392.0 792.0, 421.0 794.0, 428.0 799.0, 435.0 822.0, 440.0 899.0, 447.0 908.0)"
AOI_2_Vegas_img1005,"LINESTRING (624.0 902.0, 618.0 896.0, 609.0 894.0, 494.0 894.0, 469.0 898.0, 458.0 908.0)"
AOI_2_Vegas_img1005,"LINESTRING (624.0 902.0, 626.0 912.0)"
AOI_2_Vegas_img1005,"LINESTRING (447.0 908.0, 458.0 908.0)"
AOI_2_Vegas_img1005,"LINESTRING (447.0 908.0, 439.0 924.0, 432.0 1126.0, 429.0 1139.0, 422.0 1148.0, 395.0 1153.0, 2.0 1161.0)"
AOI_2_Vegas_img1005,"LINESTRING (458.0 908.0, 468.0 918.0, 500.0 922.0, 594.0 924.0, 614.0 922.0, 626.0 912.0, 653.0 915.0, 659.0 923.0, 654.0 1168.0, 656.0 1224.0)"
AOI_2_Vegas_img1005,"LINESTRING (876.0 1219.0, 656.0 1224.0, 653.0 1296.0)"
AOI_2_Vegas_img1009,"LINESTRING (271.0 2.0, 275.0 46.0, 273.0 209.0, 277.0 256.0)"
AOI_2_Vegas_img1009,"LINESTRING (348.0 2.0, 352.0 78.0, 351.0 255.0)"
